,,0
reanalysis_specific_humidity_g_per_kg,reanalysis_dew_point_temp_k,0.9970512932011444
reanalysis_dew_point_temp_k,reanalysis_specific_humidity_g_per_kg,0.9970512932011444
reanalysis_tdtr_k,reanalysis_max_air_temp_k,0.9185782576923699
reanalysis_max_air_temp_k,reanalysis_tdtr_k,0.9185782576923699
reanalysis_air_temp_k,reanalysis_avg_temp_k,0.9017774447168251
reanalysis_avg_temp_k,reanalysis_air_temp_k,0.9017774447168251
reanalysis_tdtr_k,station_diur_temp_rng_c,0.8811757452591914
station_diur_temp_rng_c,reanalysis_tdtr_k,0.8811757452591914
ndvi_ne,ndvi_nw,0.8509019513097034
ndvi_nw,ndvi_ne,0.8509019513097034
reanalysis_max_air_temp_k,station_diur_temp_rng_c,0.8342630475927447
station_diur_temp_rng_c,reanalysis_max_air_temp_k,0.8342630475927447
ndvi_se,ndvi_sw,0.820924374791436
ndvi_sw,ndvi_se,0.820924374791436
reanalysis_tdtr_k,reanalysis_min_air_temp_k,0.8155111964197745
reanalysis_min_air_temp_k,reanalysis_tdtr_k,0.8155111964197745
station_avg_temp_c,station_max_temp_c,0.7645762966300073
station_max_temp_c,station_avg_temp_c,0.7645762966300073
station_max_temp_c,reanalysis_max_air_temp_k,0.7634455760617348
reanalysis_max_air_temp_k,station_max_temp_c,0.7634455760617348
station_avg_temp_c,reanalysis_avg_temp_k,0.7513303189014919
reanalysis_avg_temp_k,station_avg_temp_c,0.7513303189014919
station_avg_temp_c,reanalysis_specific_humidity_g_per_kg,0.7478085493012696
reanalysis_specific_humidity_g_per_kg,station_avg_temp_c,0.7478085493012696
station_avg_temp_c,reanalysis_dew_point_temp_k,0.7435062681877357
reanalysis_dew_point_temp_k,station_avg_temp_c,0.7435062681877357
reanalysis_min_air_temp_k,reanalysis_air_temp_k,0.7367645621666015
reanalysis_air_temp_k,reanalysis_min_air_temp_k,0.7367645621666015
station_min_temp_c,reanalysis_min_air_temp_k,0.7207009670901589
reanalysis_min_air_temp_k,station_min_temp_c,0.7207009670901589
station_min_temp_c,reanalysis_air_temp_k,0.7196124643674666
reanalysis_air_temp_k,station_min_temp_c,0.7196124643674666
station_diur_temp_rng_c,reanalysis_min_air_temp_k,0.7156756884122201
reanalysis_min_air_temp_k,station_diur_temp_rng_c,0.7156756884122201
station_diur_temp_rng_c,station_max_temp_c,0.7152169440660887
station_max_temp_c,station_diur_temp_rng_c,0.7152169440660887
ndvi_ne,reanalysis_tdtr_k,0.6739352210348178
reanalysis_tdtr_k,ndvi_ne,0.6739352210348178
ndvi_ne,ndvi_sw,0.6695039937128969
ndvi_sw,ndvi_ne,0.6695039937128969
station_diur_temp_rng_c,ndvi_ne,0.6581293274407178
ndvi_ne,station_diur_temp_rng_c,0.6581293274407178
ndvi_nw,ndvi_sw,0.6519380579095884
ndvi_sw,ndvi_nw,0.6519380579095884
station_min_temp_c,reanalysis_dew_point_temp_k,0.6515354258743891
reanalysis_dew_point_temp_k,station_min_temp_c,0.6515354258743891
station_diur_temp_rng_c,ndvi_nw,0.6494826129181607
ndvi_nw,station_diur_temp_rng_c,0.6494826129181607
ndvi_nw,reanalysis_tdtr_k,0.645596069301841
reanalysis_tdtr_k,ndvi_nw,0.645596069301841
ndvi_ne,reanalysis_max_air_temp_k,0.6343297501986812
reanalysis_max_air_temp_k,ndvi_ne,0.6343297501986812
station_min_temp_c,station_avg_temp_c,0.6332523215591667
station_avg_temp_c,station_min_temp_c,0.6332523215591667
station_min_temp_c,reanalysis_specific_humidity_g_per_kg,0.6231545287512593
reanalysis_specific_humidity_g_per_kg,station_min_temp_c,0.6231545287512593
reanalysis_min_air_temp_k,ndvi_ne,0.6231161937016374
ndvi_ne,reanalysis_min_air_temp_k,0.6231161937016374
station_avg_temp_c,reanalysis_air_temp_k,0.6199736603045829
reanalysis_air_temp_k,station_avg_temp_c,0.6199736603045829
ndvi_se,ndvi_ne,0.6143795134910117
ndvi_ne,ndvi_se,0.6143795134910117
reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,0.6142679295168245
reanalysis_dew_point_temp_k,reanalysis_avg_temp_k,0.6142679295168245
station_max_temp_c,reanalysis_tdtr_k,0.6134766606432002
reanalysis_tdtr_k,station_max_temp_c,0.6134766606432002
reanalysis_specific_humidity_g_per_kg,reanalysis_avg_temp_k,0.6124839765187282
reanalysis_avg_temp_k,reanalysis_specific_humidity_g_per_kg,0.6124839765187282
reanalysis_max_air_temp_k,ndvi_nw,0.606775457214487
ndvi_nw,reanalysis_max_air_temp_k,0.606775457214487
reanalysis_min_air_temp_k,reanalysis_max_air_temp_k,0.6008495782446863
reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,0.6008495782446863
reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,0.59392794895843
reanalysis_relative_humidity_percent,reanalysis_precip_amt_kg_per_m2,0.59392794895843
ndvi_nw,reanalysis_min_air_temp_k,0.5888059754491591
reanalysis_min_air_temp_k,ndvi_nw,0.5888059754491591
reanalysis_avg_temp_k,station_min_temp_c,0.5798639213486774
station_min_temp_c,reanalysis_avg_temp_k,0.5798639213486774
reanalysis_relative_humidity_percent,reanalysis_specific_humidity_g_per_kg,0.577813300618074
reanalysis_specific_humidity_g_per_kg,reanalysis_relative_humidity_percent,0.577813300618074
reanalysis_tdtr_k,ndvi_sw,0.5695537271173934
ndvi_sw,reanalysis_tdtr_k,0.5695537271173934
ndvi_se,ndvi_nw,0.5558087294430966
ndvi_nw,ndvi_se,0.5558087294430966
reanalysis_dew_point_temp_k,reanalysis_relative_humidity_percent,0.55376563492084
reanalysis_relative_humidity_percent,reanalysis_dew_point_temp_k,0.55376563492084
ndvi_sw,reanalysis_max_air_temp_k,0.5464596365777895
reanalysis_max_air_temp_k,ndvi_sw,0.5464596365777895
ndvi_sw,station_diur_temp_rng_c,0.5458993346855291
station_diur_temp_rng_c,ndvi_sw,0.5458993346855291
reanalysis_air_temp_k,reanalysis_dew_point_temp_k,0.5297705255427094
reanalysis_dew_point_temp_k,reanalysis_air_temp_k,0.5297705255427094
station_max_temp_c,reanalysis_specific_humidity_g_per_kg,0.5193763428384837
reanalysis_specific_humidity_g_per_kg,station_max_temp_c,0.5193763428384837
reanalysis_avg_temp_k,station_max_temp_c,0.5122195900613339
station_max_temp_c,reanalysis_avg_temp_k,0.5122195900613339
reanalysis_specific_humidity_g_per_kg,reanalysis_air_temp_k,0.5083801602812121
reanalysis_air_temp_k,reanalysis_specific_humidity_g_per_kg,0.5083801602812121
reanalysis_sat_precip_amt_mm,reanalysis_relative_humidity_percent,0.4999838376486215
reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,0.4999838376486215
precipitation_amt_mm,reanalysis_relative_humidity_percent,0.4999838376486214
reanalysis_relative_humidity_percent,precipitation_amt_mm,0.4999838376486214
ndvi_sw,reanalysis_min_air_temp_k,0.4942838922837464
reanalysis_min_air_temp_k,ndvi_sw,0.4942838922837464
station_max_temp_c,reanalysis_dew_point_temp_k,0.4923188988341197
reanalysis_dew_point_temp_k,station_max_temp_c,0.4923188988341197
ndvi_ne,station_max_temp_c,0.49192154641037517
station_max_temp_c,ndvi_ne,0.49192154641037517
year,reanalysis_tdtr_k,0.49054210212307947
reanalysis_tdtr_k,year,0.49054210212307947
station_max_temp_c,ndvi_nw,0.4901221176039756
ndvi_nw,station_max_temp_c,0.4901221176039756
station_precip_mm,reanalysis_sat_precip_amt_mm,0.4866369851406318
reanalysis_sat_precip_amt_mm,station_precip_mm,0.4866369851406318
precipitation_amt_mm,station_precip_mm,0.4866369851406318
station_precip_mm,precipitation_amt_mm,0.4866369851406318
ndvi_se,reanalysis_tdtr_k,0.4860472714559525
reanalysis_tdtr_k,ndvi_se,0.4860472714559525
